n	individuo	poblacion	sitio	lon	lat	codigo	Temp_med_anual	Precip_anual	Intervalo_medio_diurno	Isotermalidad	Rango_anual_temp
171	SAM50 	pop10	El Fortín	-62.328683	-31.964667	For	17.2875003814697	872	13.3583335876465	48.575756072998	27.5
172	SAM51	pop10	El Fortín	-62.328683	-31.964667	For	17.2875003814697	872	13.3583335876465	48.575756072998	27.5
173	SAM52 	pop10	El Fortín	-62.328683	-31.964667	For	17.2875003814697	872	13.3583335876465	48.575756072998	27.5
174	SAM53	pop10	El Fortín	-62.328683	-31.964667	For	17.2875003814697	872	13.3583335876465	48.575756072998	27.5
175	SAM54 	pop10	El Fortín	-62.328683	-31.964667	For	17.2875003814697	872	13.3583335876465	48.575756072998	27.5
176	SAM55	pop11	Hipódromo de las Rosas	-65.748533	-28.55185	Ococ	20.3250007629395	508	13.8166666030884	46.3646545410156	29.7999992370605
177	SAM56 	pop11	Hipódromo de las Rosas	-65.748533	-28.55185	Ococ	20.3250007629395	508	13.8166666030884	46.3646545410156	29.7999992370605
178	SAM57	pop11	Hipódromo de las Rosas	-65.748533	-28.55185	Ococ	20.3250007629395	508	13.8166666030884	46.3646545410156	29.7999992370605
179	SAM58 	pop11	Hipódromo de las Rosas	-65.748533	-28.55185	Ococ	20.3250007629395	508	13.8166666030884	46.3646545410156	29.7999992370605
180	SAM59	pop11	Hipódromo de las Rosas	-65.748533	-28.55185	Ococ	20.3250007629395	508	13.8166666030884	46.3646545410156	29.7999992370605
181	SAM6 	pop2	Diamante	-60.63925	-32.109417	Dia	18.0666656494141	1025	11.2333335876465	46.4187355041504	24.1999988555908
182	SAM60	pop11	Hipódromo de las Rosas	-65.748533	-28.55185	Ococ	20.3250007629395	508	13.8166666030884	46.3646545410156	29.7999992370605
183	SAM61	pop11	Hipódromo de las Rosas	-65.748533	-28.55185	Ococ	20.3250007629395	508	13.8166666030884	46.3646545410156	29.7999992370605
184	SAM62 	pop11	Hipódromo de las Rosas	-65.748533	-28.55185	Ococ	20.3250007629395	508	13.8166666030884	46.3646545410156	29.7999992370605
185	SAM63	pop11	Hipódromo de las Rosas	-65.748533	-28.55185	Ococ	20.3250007629395	508	13.8166666030884	46.3646545410156	29.7999992370605
186	SAM64 	pop11	Hipódromo de las Rosas	-65.748533	-28.55185	Ococ	20.3250007629395	508	13.8166666030884	46.3646545410156	29.7999992370605
187	SAM65	pop11	Hipódromo de las Rosas	-65.748533	-28.55185	Ococ	20.3250007629395	508	13.8166666030884	46.3646545410156	29.7999992370605
188	SAM66 	pop12	Yuquerí	-58.128633	-31.38195	Yuq	18.716667175293	1312	11.9333333969116	47.5431594848633	25.1000003814697
189	SAM67	pop12	Yuquerí	-58.128633	-31.38195	Yuq	18.716667175293	1312	11.9333333969116	47.5431594848633	25.1000003814697
190	SAM68 	pop12	Yuquerí	-58.128633	-31.38195	Yuq	18.716667175293	1312	11.9333333969116	47.5431594848633	25.1000003814697
191	SAM69	pop12	Yuquerí	-58.128633	-31.38195	Yuq	18.716667175293	1312	11.9333333969116	47.5431594848633	25.1000003814697
192	SAM7	pop3	Argentina	-62.26205	-29.538683	Arg	19.5125007629395	895	13.5083322525024	50.0308647155762	27
193	SAM70 	pop12	Yuquerí	-58.128633	-31.38195	Yuq	18.716667175293	1312	11.9333333969116	47.5431594848633	25.1000003814697
194	SAM71	pop12	Yuquerí	-58.128633	-31.38195	Yuq	18.716667175293	1312	11.9333333969116	47.5431594848633	25.1000003814697
195	SAM72 	pop12	Yuquerí	-58.128633	-31.38195	Yuq	18.716667175293	1312	11.9333333969116	47.5431594848633	25.1000003814697
196	SAM73	pop12	Yuquerí	-58.128633	-31.38195	Yuq	18.716667175293	1312	11.9333333969116	47.5431594848633	25.1000003814697
197	SAM74 	pop13	Federal	-58.773267	-30.930583	Fed	19.0708332061768	1200	12.625	49.1245155334473	25.6999988555908
198	SAM75	pop13	Federal	-58.773267	-30.930583	Fed	19.0708332061768	1200	12.625	49.1245155334473	25.6999988555908
199	SAM76 	pop14	Pozo Escondido	-63.65225	-29.470883	Poz	18.1208343505859	771	14.091667175293	51.4294395446777	27.4000015258789
200	SAM77	pop14	Pozo Escondido	-63.65225	-29.470883	Poz	18.1208343505859	771	14.091667175293	51.4294395446777	27.4000015258789
201	SAM78 	pop14	Pozo Escondido	-63.65225	-29.470883	Poz	18.1208343505859	771	14.091667175293	51.4294395446777	27.4000015258789
202	SAM79	pop14	Pozo Escondido	-63.65225	-29.470883	Poz	18.1208343505859	771	14.091667175293	51.4294395446777	27.4000015258789
203	SAM8 	pop3	Argentina	-62.26205	-29.538683	Arg	19.5125007629395	895	13.5083322525024	50.0308647155762	27
204	SAM80	pop14	Pozo Escondido	-63.65225	-29.470883	Poz	18.1208343505859	771	14.091667175293	51.4294395446777	27.4000015258789
205	SAM81	pop14	Pozo Escondido	-63.65225	-29.470883	Poz	18.1208343505859	771	14.091667175293	51.4294395446777	27.4000015258789
206	SAM82 	pop14	Pozo Escondido	-63.65225	-29.470883	Poz	18.1208343505859	771	14.091667175293	51.4294395446777	27.4000015258789
207	SAM83	pop14	Pozo Escondido	-63.65225	-29.470883	Poz	18.1208343505859	771	14.091667175293	51.4294395446777	27.4000015258789
208	SAM84 	pop14	Pozo Escondido	-63.65225	-29.470883	Poz	18.1208343505859	771	14.091667175293	51.4294395446777	27.4000015258789
209	SAM85	pop14	Pozo Escondido	-63.65225	-29.470883	Poz	18.1208343505859	771	14.091667175293	51.4294395446777	27.4000015258789
